iter	Passed	Remaining
0	63	63401
1	63	31811
2	64	21417
3	64	16146
4	65	13020
5	67	11230
6	68	9686
7	68	8524
8	69	7703
9	70	6968
10	70	6368
11	72	5995
12	73	5554
13	73	5206
14	74	4881
15	74	4599
16	75	4354
17	75	4127
18	76	3925
19	77	3775
20	77	3604
21	77	3450
22	78	3317
23	78	3189
24	78	3074
25	79	2962
26	79	2871
27	80	2779
28	80	2698
29	80	2618
30	81	2551
31	81	2478
32	82	2410
33	82	2349
34	82	2287
35	83	2236
36	84	2188
37	84	2143
38	87	2144
39	87	2098
40	87	2051
41	88	2008
42	88	1968
43	88	1927
44	89	1889
45	89	1856
46	89	1821
47	90	1788
48	90	1756
49	90	1726
50	91	1695
51	91	1670
52	92	1645
53	92	1619
54	92	1594
55	93	1568
56	93	1546
57	93	1524
58	94	1502
59	94	1483
60	95	1465
61	95	1446
62	96	1429
63	96	1414
64	97	1396
65	97	1380
66	98	1369
67	98	1354
68	99	1341
69	99	1326
70	100	1312
71	101	1308
72	101	1293
73	102	1280
74	102	1267
75	103	1253
76	103	1241
77	104	1230
78	104	1217
79	104	1204
80	105	1192
81	105	1180
82	105	1167
83	106	1157
84	106	1146
85	106	1136
86	107	1124
87	107	1116
88	108	1105
89	108	1095
90	108	1086
91	109	1076
92	110	1073
93	110	1064
94	110	1057
95	111	1047
96	111	1039
97	112	1032
98	112	1024
99	113	1017
100	113	1009
101	113	1003
102	114	994
103	114	989
104	115	982
105	115	975
106	117	976
107	117	970
108	117	963
109	118	956
110	118	949
111	118	942
112	119	938
113	119	932
114	120	930
115	121	923
116	121	916
117	121	910
118	122	904
119	122	898
120	122	892
121	123	890
122	124	885
123	124	879
124	124	873
125	125	868
126	125	862
127	126	858
128	126	853
129	126	848
130	127	843
131	127	839
132	127	834
133	128	831
134	129	827
135	129	822
136	130	824
137	131	821
138	131	817
139	132	813
140	132	808
141	132	803
142	133	800
143	134	800
144	135	796
145	135	794
146	136	791
147	136	786
148	137	782
149	137	778
150	137	774
151	138	771
152	138	767
153	139	764
154	139	760
155	139	756
156	140	754
157	140	751
158	141	747
159	141	744
160	141	739
161	142	736
162	142	733
163	143	730
164	143	727
165	144	724
166	144	721
167	144	717
168	145	714
169	145	711
170	146	707
171	147	708
172	147	705
173	147	702
174	148	699
175	148	696
176	149	693
177	149	690
178	149	687
179	150	684
180	150	681
181	151	678
182	151	675
183	151	672
184	152	670
185	152	669
186	153	665
187	153	662
188	153	660
189	154	658
190	154	655
191	155	655
192	156	653
193	156	650
194	156	648
195	159	653
196	159	650
197	160	648
198	160	646
199	161	644
200	161	641
201	161	639
202	162	637
203	163	636
204	164	636
205	164	634
206	164	631
207	165	628
208	165	626
209	165	623
210	166	621
211	167	620
212	167	619
213	168	617
214	168	615
215	169	613
216	169	611
217	170	610
218	170	607
219	170	605
220	171	603
221	171	601
222	172	599
223	173	601
224	174	600
225	174	598
226	175	598
227	176	599
228	177	597
229	177	595
230	178	593
231	178	591
232	179	589
233	179	587
234	180	586
235	180	583
236	180	582
237	181	580
238	181	578
239	182	576
240	182	574
241	182	572
242	183	570
243	183	569
244	184	567
245	184	565
246	185	564
247	185	562
248	185	560
249	186	558
250	186	556
251	186	554
252	187	552
253	187	551
254	188	549
255	188	547
256	188	546
257	189	544
258	189	542
259	190	542
260	191	541
261	191	539
262	192	538
263	192	537
264	193	535
265	193	534
266	194	533
267	195	532
268	195	531
269	196	530
270	196	529
271	197	527
272	197	526
273	198	525
274	198	523
275	199	522
276	199	520
277	199	519
278	200	517
279	200	515
280	200	514
281	201	512
282	201	511
283	202	509
284	202	508
285	202	506
286	203	505
287	203	503
288	204	502
289	204	501
290	205	499
291	205	498
292	206	497
293	206	497
294	207	495
295	207	494
296	208	493
297	208	492
298	209	490
299	209	489
300	209	487
301	210	486
302	210	484
303	211	483
304	211	482
305	211	480
306	212	479
307	212	477
308	212	476
309	213	474
310	213	473
311	214	471
312	214	470
313	214	469
314	215	468
315	215	466
316	216	465
317	216	464
318	216	463
319	217	461
320	217	460
321	218	459
322	218	458
323	219	457
324	219	455
325	220	454
326	220	454
327	221	453
328	221	452
329	222	451
330	222	450
331	223	448
332	223	447
333	223	445
334	224	444
335	224	443
336	224	442
337	225	440
338	225	439
339	225	438
340	226	437
341	226	436
342	227	434
343	227	433
344	227	432
345	228	431
346	228	430
347	228	428
348	229	427
349	229	426
350	230	425
351	230	424
352	230	423
353	231	422
354	231	421
355	232	420
356	232	418
357	233	417
358	233	416
359	233	415
360	234	414
361	234	413
362	234	412
363	235	411
364	235	410
365	236	409
366	236	408
367	237	407
368	237	405
369	237	404
370	238	404
371	239	403
372	239	402
373	239	401
374	240	400
375	240	399
376	240	397
377	241	396
378	241	395
379	241	394
380	242	393
381	242	392
382	243	392
383	243	390
384	244	389
385	244	388
386	244	388
387	245	387
388	245	385
389	246	385
390	246	383
391	246	382
392	247	381
393	247	380
394	248	380
395	248	379
396	248	378
397	249	377
398	249	376
399	250	375
400	250	374
401	251	373
402	251	372
403	251	371
404	252	370
405	252	369
406	253	368
407	253	368
408	254	367
409	254	366
410	254	365
411	255	364
412	255	363
413	255	362
414	256	361
415	256	360
416	257	359
417	257	358
418	257	357
419	257	356
420	258	355
421	258	354
422	259	353
423	259	352
424	259	351
425	260	350
426	260	349
427	261	348
428	261	348
429	261	347
430	262	346
431	262	345
432	262	344
433	263	343
434	263	342
435	263	341
436	264	340
437	264	339
438	265	338
439	265	337
440	265	336
441	266	335
442	266	335
443	267	334
444	267	333
445	267	332
446	268	332
447	268	331
448	269	330
449	269	329
450	270	328
451	270	328
452	270	327
453	271	326
454	271	325
455	272	324
456	272	323
457	272	322
458	273	322
459	274	322
460	274	321
461	274	320
462	275	319
463	275	318
464	276	318
465	277	317
466	277	316
467	278	316
468	300	340
469	306	345
470	307	345
471	309	346
472	310	346
473	312	347
474	313	346
475	314	345
476	314	345
477	315	344
478	316	343
479	316	343
480	317	342
481	318	342
482	319	341
483	320	341
484	320	340
485	321	339
486	321	338
487	322	337
488	322	337
489	322	336
490	323	335
491	324	334
492	324	333
493	325	332
494	325	332
495	326	331
496	326	330
497	327	329
498	327	329
499	328	328
500	328	327
501	329	326
502	329	326
503	330	325
504	330	324
505	331	323
506	331	322
507	332	321
508	332	320
509	333	320
510	333	319
511	334	318
512	334	317
513	335	317
514	335	316
515	336	315
516	336	314
517	337	313
518	337	313
519	338	312
520	338	311
521	339	310
522	339	309
523	340	309
524	341	308
525	341	307
526	342	306
527	342	306
528	343	305
529	343	304
530	344	303
531	344	302
532	344	302
533	345	301
534	345	300
535	345	299
536	346	298
537	346	297
538	347	297
539	348	296
540	348	295
541	349	295
542	350	294
543	350	293
544	350	293
545	351	292
546	351	291
547	352	290
548	352	289
549	353	289
550	354	288
551	355	288
552	355	287
553	356	286
554	356	286
555	357	285
556	357	284
557	358	284
558	359	283
559	359	282
560	359	281
561	360	280
562	360	279
563	360	279
564	361	278
565	361	277
566	362	276
567	363	276
568	363	275
569	364	274
570	364	273
571	365	273
572	366	272
573	366	271
574	366	271
575	367	270
576	367	269
577	368	268
578	368	268
579	369	267
580	369	266
581	369	265
582	370	264
583	370	263
584	370	263
585	371	262
586	371	261
587	372	260
588	372	259
589	372	259
590	373	258
591	373	257
592	374	256
593	374	256
594	375	255
595	375	254
596	376	253
597	376	253
598	376	252
599	377	251
600	377	250
601	377	249
602	378	249
603	378	248
604	379	247
605	379	246
606	379	245
607	380	245
608	380	244
609	381	243
610	381	243
611	382	242
612	382	241
613	383	241
614	384	240
615	385	240
616	385	239
617	386	239
618	387	238
619	387	237
620	388	236
621	388	236
622	388	235
623	389	234
624	389	233
625	390	233
626	391	232
627	391	231
628	391	231
629	392	230
630	392	229
631	393	228
632	393	228
633	394	227
634	394	226
635	395	226
636	396	225
637	396	224
638	397	224
639	397	223
640	397	222
641	398	222
642	398	221
643	399	221
644	400	220
645	400	219
646	401	219
647	402	218
648	402	217
649	403	217
650	403	216
651	404	215
652	405	215
653	405	214
654	406	214
655	406	213
656	407	212
657	407	211
658	408	211
659	408	210
660	408	209
661	409	209
662	410	208
663	410	207
664	410	207
665	411	206
666	411	205
667	412	204
668	412	204
669	412	203
670	413	202
671	413	201
672	414	201
673	414	200
674	414	199
675	415	199
676	415	198
677	416	197
678	416	196
679	416	196
680	417	195
681	417	194
682	418	194
683	418	193
684	419	192
685	419	192
686	420	191
687	420	190
688	420	189
689	421	189
690	421	188
691	421	187
692	422	187
693	422	186
694	422	185
695	423	184
696	423	184
697	424	183
698	424	182
699	424	182
700	425	181
701	425	180
702	425	179
703	426	179
704	426	178
705	426	177
706	427	177
707	427	176
